Date,Open,High,Low,Close,Adj Close,Volume
2022-02-14,122.930000,125.500000,116.150002,117.089996,117.089996,2275700
2022-02-15,120.959999,127.230003,119.260002,126.160004,126.160004,1977900
2022-02-16,124.430000,132.850006,123.919998,128.330002,128.330002,2001900
2022-02-17,126.769997,130.850006,122.220001,123.410004,123.410004,1564100
2022-02-18,124.199997,125.650002,118.129997,121.529999,121.529999,1553500
2022-02-22,118.199997,123.330002,114.190002,118.059998,118.059998,1539100
2022-02-23,121.220001,123.360001,114.279999,114.870003,114.870003,1348300
2022-02-24,105.529999,125.709999,104.120003,124.580002,124.580002,2256200
2022-02-25,123.570000,124.970001,116.489998,118.580002,118.580002,1710300
2022-02-28,121.000000,126.290001,116.889999,123.339996,123.339996,1612500
2022-03-01,122.190002,125.870003,118.349998,119.019997,119.019997,1096000
2022-03-02,119.500000,122.669998,116.370003,121.970001,121.970001,1310700
2022-03-03,122.959999,123.739998,117.230003,118.410004,118.410004,1095600
2022-03-04,118.010002,120.510002,110.580002,111.660004,111.660004,1477800
2022-03-07,115.000000,115.000000,96.099998,99.349998,99.349998,3147900
2022-03-08,101.029999,108.989998,97.089996,103.010002,103.010002,2134000
2022-03-09,106.980003,108.860001,103.500000,105.209999,105.209999,1399600
2022-03-10,103.919998,104.059998,98.250000,100.559998,100.559998,1395500
2022-03-11,102.660004,102.900002,92.690002,92.690002,92.690002,2199400
2022-03-14,93.430000,94.320000,77.580002,78.110001,78.110001,4498381
