Date,Open,High,Low,Close,Adj Close,Volume
2022-02-14,7.235000,7.505000,7.060000,7.360000,7.360000,4253644
2022-02-15,7.500000,7.855000,7.500000,7.700000,7.700000,3193326
2022-02-16,7.870000,7.930000,7.775000,7.870000,7.870000,1547866
2022-02-17,7.665000,7.710000,7.445000,7.520000,7.520000,3119789
2022-02-18,7.580000,7.580000,7.055000,7.105000,7.105000,3042490
2022-02-21,7.005000,7.040000,5.945000,6.340000,6.340000,11568712
2022-02-22,5.805000,6.320000,5.805000,6.060000,6.060000,9787486
2022-02-23,6.200000,6.275000,5.640000,5.890000,5.890000,6676107
2022-02-24,4.120000,4.426000,3.700000,4.250000,4.250000,26672175
2022-02-25,4.790000,4.880000,4.102000,4.802000,4.802000,16883015
2022-02-28,3.250000,3.782000,2.824000,3.340000,3.340000,19583004
2022-03-01,3.340000,3.400000,2.512000,2.700000,2.700000,11982787
2022-03-02,2.700000,2.700000,2.700000,2.700000,2.700000,0
2022-03-03,2.700000,2.700000,2.700000,2.700000,2.700000,0
2022-03-04,2.700000,2.700000,2.700000,2.700000,2.700000,0
2022-03-07,2.700000,2.700000,2.700000,2.700000,2.700000,0
2022-03-08,2.700000,2.700000,2.700000,2.700000,2.700000,0
2022-03-09,2.700000,2.700000,2.700000,2.700000,2.700000,0
2022-03-10,2.700000,2.700000,2.700000,2.700000,2.700000,0
2022-03-11,2.700000,2.700000,2.700000,2.700000,2.700000,0
2022-03-14,null,null,null,null,null,null
